,name,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
0,Bluff,0,AU,2019-11-16 19:42:47,15,-23.58,149.07,100.08,14.76
1,Te Anau,99,NZ,2019-11-16 19:43:29,77,-45.41,167.72,46.2,10.85
2,Khislavichi,100,RU,2019-11-16 19:46:07,94,54.19,32.16,40.05,7.02
3,Mataura,11,NZ,2019-11-16 19:38:52,58,-46.19,168.86,59.0,8.01
4,Bethel,75,US,2019-11-16 19:40:53,78,60.79,-161.76,10.4,18.34
5,Albany,1,US,2019-11-16 19:39:30,53,42.65,-73.75,24.01,6.93
6,Ushuaia,75,AR,2019-11-16 19:42:40,81,-54.81,-68.31,46.4,6.93
7,Khatanga,93,RU,2019-11-16 19:41:38,88,71.98,102.47,-13.16,1.14
8,Punta Arenas,75,CL,2019-11-16 19:38:52,66,-53.16,-70.91,48.2,25.28
9,Aboso,0,GH,2019-11-16 19:46:08,95,5.36,-1.95,74.07,0.49
10,Sangar,100,RU,2019-11-16 19:42:10,98,63.92,127.47,-15.63,2.53
11,Qaanaaq,100,GL,2019-11-16 19:42:56,95,77.48,-69.36,6.06,5.95
12,East London,93,ZA,2019-11-16 19:42:46,75,-33.02,27.91,67.68,8.23
13,Kresttsy,100,RU,2019-11-16 19:46:08,95,58.25,32.52,42.06,5.99
14,La Ronge,90,CA,2019-11-16 19:46:08,92,55.1,-105.3,24.8,9.17
15,Luderitz,0,NA,2019-11-16 19:43:16,72,-26.65,15.16,64.4,23.04
16,Yellowknife,90,CA,2019-11-16 19:42:50,84,62.45,-114.38,8.01,4.7
17,Vaini,79,IN,2019-11-16 19:39:05,88,15.34,74.49,68.0,9.91
18,Butaritari,80,KI,2019-11-16 19:42:57,73,3.07,172.79,83.66,11.41
19,Rovira,75,CO,2019-11-16 19:46:09,100,4.24,-75.24,73.4,2.24
20,Tasiilaq,93,GL,2019-11-16 19:41:23,79,65.61,-37.64,28.4,14.99
21,Palmer,20,AU,2019-11-16 19:39:04,45,-34.85,139.16,71.01,13.87
22,Busselton,0,AU,2019-11-16 19:42:45,38,-33.64,115.35,80.01,11.39
23,Jamestown,42,AU,2019-11-16 19:39:00,15,-33.21,138.6,78.57,1.36
24,Vlagtwedde,75,DE,2019-11-16 19:46:10,86,53.03,7.11,41.0,8.05
25,Jiaocheng,0,CN,2019-11-16 19:46:10,43,24.68,116.14,79.68,2.91
26,Tuktoyaktuk,40,CA,2019-11-16 19:40:36,83,69.44,-133.03,-11.2,6.93
27,Wakkanai,75,JP,2019-11-16 19:46:10,63,45.41,141.67,30.2,29.97
28,Poum,92,MK,2019-11-16 19:46:10,93,41.28,20.71,42.93,5.84
29,Rikitea,51,PF,2019-11-16 19:42:42,82,-23.12,-134.97,75.36,6.73
30,Castro,90,CL,2019-11-16 19:42:57,100,-42.48,-73.76,51.8,16.11
31,Brigantine,90,US,2019-11-16 19:46:10,44,39.41,-74.36,44.01,11.41
32,Talnakh,0,RU,2019-11-16 19:38:58,64,69.49,88.39,-4.0,11.18
33,San Quintin,42,PH,2019-11-16 19:41:58,65,17.54,120.52,84.07,4.81
34,Sioux Lookout,90,CA,2019-11-16 19:46:11,60,50.1,-91.92,39.2,9.17
35,Laela,100,TZ,2019-11-16 19:46:11,82,-8.57,32.05,64.87,0.38
36,Longyearbyen,75,NO,2019-11-16 19:43:14,92,78.22,15.63,30.2,3.36
37,Sovetskiy,81,RU,2019-11-16 19:42:52,83,56.76,48.47,31.57,10.38
38,Torbay,40,CA,2019-11-16 19:46:11,63,47.66,-52.73,30.0,36.91
39,Avarua,3,CK,2019-11-16 19:46:11,74,-21.21,-159.78,78.8,11.41
40,Kavaratti,20,IN,2019-11-16 19:46:11,70,10.57,72.64,83.08,3.74
41,Mar del Plata,14,AR,2019-11-16 19:39:00,43,-46.43,-67.52,59.94,29.73
42,Norman Wells,90,CA,2019-11-16 19:40:34,76,65.28,-126.83,-5.8,5.82
43,Hilo,90,US,2019-11-16 19:38:56,83,19.71,-155.08,78.8,4.7
44,Pevek,78,RU,2019-11-16 19:39:10,92,69.7,170.27,2.37,5.48
45,Yatou,100,CM,2019-11-16 19:46:12,95,3.63,9.81,75.87,2.21
46,Faanui,4,PF,2019-11-16 19:39:10,82,-16.48,-151.75,79.99,13.4
47,Tautira,75,PF,2019-11-16 19:46:12,62,-17.73,-149.15,86.0,5.82
48,Pilar,0,AR,2019-11-16 19:45:38,88,-34.46,-58.91,72.0,3.36
49,Arraial do Cabo,0,BR,2019-11-16 19:40:22,83,-22.97,-42.02,71.51,11.21
